,z
11001,4
11002,4
11004,4
11000,4
11003,4
11061,4
11240,4
11221,4
11220,4
11200,4
11501,4
11500,4
11101,4
11100,4
11231,4
11230,4
11210,4
11260,4
11701,4
11702,4
11703,4
11771,4
11770,4
11780,4
11751,4
11750,4
11741,4
11740,4
11700,4
11850,4
11800,3
11760,4
11401,4
11400,4
11340,4
11350,4
11421,4
11420,4
11331,4
11330,4
11360,4
11320,4
11300,4
11310,4
11601,4
11600,4
11660,4
11651,4
11650,4
11641,4
11640,4
11550,4
11631,4
11630,4
11621,4
11620,4
12001,3
12002,3
12003,3
12004,3
12000,3
12442,3
12440,3
12451,3
12051,3
12450,3
12435,3
12436,3
12420,3
12006,3
12007,3
12419,3
12105,3
12445,3
12408,3
12410,3
12210,3
12246,2
12245,2
12404,3
12405,3
12205,3
12120,3
12101,3
12100,3
12116,3
12115,3
12110,3
12401,3
12400,3
12501,3
12500,3
12241,2
12240,2
12415,3
12126,3
12125,3
12510,3
12236,2
12235,2
12490,3
12225,2
12221,2
12220,2
12215,3
12485,3
12230,2
12136,3
12135,3
12505,3
12130,3
12504,3
12496,3
12495,3
12200,3
12856,2
12855,2
12865,2
12867,2
12866,2
12861,2
12860,2
12841,2
12840,2
12845,2
12601,3
12621,3
12620,3
12140,2
12160,3
12555,3
12550,3
12150,3
12155,3
12530,3
12615,3
12630,3
12175,3
12515,3
12545,3
12625,3
12165,3
12170,3
12180,2
12850,2
12520,3
12525,3
12810,3
12585,3
12800,3
12540,3
12635,3
12820,2
12145,3
12805,3
12600,3
12513,3
12640,3
12815,3
12731,3
12730,3
12741,2
12740,2
12760,3
12751,2
12750,2
12261,2
12260,2
12256,2
12255,2
12311,2
12310,2
12301,2
12300,2
12251,2
12250,2
12321,2
12320,2
12876,2
12875,2
12331,2
12330,2
12651,3
12650,3
12701,2
12700,2
12645,3
12836,2
12835,2
12655,3
12831,2
12830,2
12711,2
12710,2
12721,2
12720,2
12826,2
12825,2
12576,3
12575,3
12560,3
12565,3
12780,3
12596,3
12595,3
12535,3
12770,3
12570,3
12591,3
12590,3
12456,3
12455,3
12466,3
12465,3
12430,3
12480,3
12425,3
12460,3
12475,3
12428,3
12470,3
13001,4
13006,4
13007,4
13008,4
13011,4
13002,4
13003,4
13004,4
13014,4
13000,4
13012,4
13013,4
13101,4
13100,4
13601,4
13600,4
13125,4
13611,4
13610,4
13105,4
13009,4
13771,4
13770,4
13701,4
13700,4
13711,4
13710,4
13750,4
13721,4
13720,4
13731,4
13730,4
13741,4
13740,4
13761,4
13760,4
13420,2
13400,2
13410,2
13440,2
13450,2
13430,2
13871,4
13870,4
13861,4
13860,4
13851,4
13850,4
13181,3
13180,3
13186,3
13185,3
13196,3
13195,3
13191,3
13190,3
13201,3
13200,3
13136,3
13135,3
13210,3
13231,3
13230,3
13120,3
13175,3
13115,3
13131,3
13130,3
13111,3
13110,3
13221,3
13220,3
13801,4
13800,4
13841,4
13840,4
13820,4
13811,4
13810,4
13831,4
13830,4
13526,2
13525,2
13515,2
13551,2
13550,2
13531,2
13530,2
13520,2
13555,2
13560,2
13511,2
13510,2
13501,2
13500,2
13505,2
13535,2
13545,2
13540,2
13301,3
13300,3
13331,3
13330,3
13341,2
13340,2
13361,3
13360,3
13321,3
13320,3
13311,3
13310,3
13371,3
13370,3
13351,2
13350,2
13146,3
13145,3
13161,3
13160,3
13156,3
13155,3
13165,3
13170,3
13141,3
13140,3
13150,3
13380,3
13781,3
13780,3
13241,3
13240,3
13260,3
13251,3
13250,3
13621,4
13620,4
13631,4
13630,4
13641,4
13640,4
14001,4
14002,4
14004,4
14006,4
14008,4
14009,4
14011,4
14012,4
14621,4
14620,4
14821,4
14820,4
14810,4
14003,4
14013,4
14000,4
14007,4
14701,4
14700,4
14831,4
14830,4
14730,4
14741,4
14740,4
14301,4
14300,4
14801,4
14800,4
14841,4
14840,4
14711,4
14710,4
14721,4
14720,4
14611,4
14610,4
14631,4
14630,4
14601,4
14600,4
14311,4
14310,4
14501,3
14500,3
14401,3
14400,3
14330,4
14341,4
14340,4
14220,4
14131,4
14130,4
14151,4
14150,4
14111,4
14110,4
14161,4
14160,4
14201,4
14200,4
14211,4
14210,4
14141,4
14140,4
14231,3
14230,3
14051,4
14121,4
14120,4
15001,4
15003,4
15004,4
15006,4
15018,4
15019,4
15046,4
15072,4
15079,4
15081,4
15082,4
15083,4
15088,4
15123,4
15011,4
15012,4
15022,4
15023,4
15026,4
15476,4
15479,4
15483,4
15487,4
15491,4
15494,4
15498,4
15047,4
15049,4
15063,4
15121,4
15122,4
15313,4
15316,4
15318,4
15319,4
15320,4
15321,4
15324,4
15472,4
15054,4
15056,4
15057,4
15058,4
15064,4
15066,4
15067,4
15593,4
15594,4
15311,4
15312,4
15314,4
15326,4
15327,4
15328,4
15332,4
15007,4
15008,4
15009,4
15331,4
15333,4
15073,4
15076,4
15084,4
15024,4
15033,4
15034,4
15113,4
15301,4
15302,4
15304,4
15306,4
15307,4
15457,4
15461,4
15464,4
15468,4
15822,4
15823,4
15841,4
15842,4
15846,4
15086,4
15048,4
15074,4
15866,4
15865,4
15116,4
15117,4
15118,4
15845,4
15851,4
15850,4
15093,4
15094,4
15096,4
15856,4
15855,4
15021,4
15036,4
15037,4
15401,4
15404,4
15408,4
15412,4
15416,4
15419,4
15423,4
15427,4
15431,4
15434,4
15438,4
15442,4
15446,4
15449,4
15453,4
15801,4
15803,4
15804,4
15806,4
15809,4
15824,4
15828,4
15829,4
15101,4
15102,4
15103,4
15106,4
15107,4
15108,4
15109,4
15112,4
15087,4
15861,4
15038,4
15039,4
15816,4
15831,4
15834,4
15836,4
15837,4
15811,4
15812,4
15817,4
15818,4
15169,4
15170,4
15178,4
15180,4
15174,4
15175,4
15162,4
15161,4
15195,3
15197,3
15190,3
15191,3
15185,3
15360,3
15340,4
15355,4
15365,3
15345,3
15350,3
15336,4
15335,4
15701,4
15700,4
15689,4
15690,4
15615,4
15717,4
15716,4
15871,4
15870,4
15685,4
15727,4
15608,4
15610,4
15723,4
15725,4
15730,4
15712,4
15715,4
15600,4
15719,4
15720,4
15605,4
15735,3
15201,4
15202,4
15200,4
15225,3
15205,3
15126,4
15125,4
15131,4
15130,4
15245,3
15220,3
15230,3
15215,3
15235,3
15210,3
15221,3
15556,3
15586,4
15505,3
15525,3
15564,3
15565,3
15585,4
15516,3
15535,3
15635,3
15577,3
15580,3
15530,3
15630,4
15537,4
15536,4
15571,3
15510,4
15550,3
15575,3
15520,3
15650,3
15640,3
15561,3
15560,3
15540,3
15515,3
15641,3
15625,3
15545,3
15501,4
15500,4
15645,3
15570,3
15590,4
15555,3
15135,4
15136,4
15137,4
15138,4
15182,4
15280,3
15246,3
15255,3
15285,3
15237,4
15240,4
15157,4
15160,4
15274,3
15275,3
15266,3
15265,3
15250,3
15260,3
15270,3
15775,3
15786,3
15765,3
15675,3
15740,3
15750,3
15781,3
15760,3
15736,3
15621,3
15770,3
15753,3
15670,3
15796,3
15748,3
15780,3
15661,3
15785,3
15755,3
15742,3
15792,3
15681,4
15763,3
15665,3
15620,4
15655,3
15680,3
15660,3
15768,4
15790,3
15761,3
15745,3
15795,3
16001,1
16002,1
16003,1
16004,1
16006,1
16007,1
16000,1
16800,1
16311,1
16310,1
16201,1
16200,1
16211,1
16210,1
16101,1
16100,1
16121,1
16120,1
16111,1
16110,1
16130,1
16008,1
16140,1
16501,3
16500,3
16511,3
16510,3
16520,3
16551,2
16550,2
16540,3
16531,3
16530,3
16301,2
16300,2
16571,2
16570,2
16811,2
16810,2
16821,2
16820,2
16561,2
16560,2
16241,1
16240,1
16221,1
16220,1
16251,1
16250,1
16231,1
16230,1
16341,2
16340,2
16380,2
16400,2
16421,2
16420,2
16431,2
16430,2
16411,2
16410,2
16320,1
16360,2
16370,2
16331,2
16330,2
16350,2
16481,2
16480,2
16460,2
16491,2
16490,2
16471,2
16470,2
16441,2
16440,2
16451,2
16450,2
16601,3
16600,3
16611,3
16610,3
16621,2
16620,2
16631,2
16630,2
16701,2
16700,2
16751,2
16750,2
17001,1
17000,1
17501,1
17500,1
17101,1
17100,1
17400,1
17700,2
17800,2
17601,2
17600,2
17551,2
17550,2
17300,1
17251,1
17250,1
17200,1
18001,4
18000,4
18400,3
18410,3
18001,3
18000,3
18420,3
18101,3
18100,3
18200,3
18500,3
18210,3
18530,3
18230,4
18510,3
18310,3
18220,3
18300,3
18320,3
18520,3
18601,4
18600,4
18620,4
18611,4
18610,4
19001,3
19000,3
19220,2
19121,2
19120,2
19501,3
19500,3
19420,2
19110,2
19201,2
19200,2
19101,2
19100,2
19031,3
19131,2
19130,2
19401,3
19400,3
19410,3
19001,2
19000,2
19601,3
19600,3
19720,3
19710,3
19750,3
19650,3
19701,3
19700,3
19740,3
19730,3
19231,2
19230,2
19210,2
19241,2
19240,2
19321,2
19320,2
19251,2
19250,2
19311,2
19310,2
19301,2
19300,2
20001,4
20004,4
20007,4
20008,4
20009,4
20000,4
20002,4
20003,4
20006,4
20601,4
20600,4
20630,4
20621,4
20620,4
20211,4
20210,4
20201,4
20200,4
20541,3
20540,3
20341,4
20340,4
20520,3
20551,3
20550,3
20511,3
20510,3
20561,3
20560,3
20501,4
20500,4
20231,4
20230,4
20530,3
20221,4
20220,4
20441,3
20440,3
20431,3
20430,3
20451,3
20450,3
20471,3
20470,3
20421,3
20420,3
20461,3
20460,3
20481,3
20480,3
20491,3
20490,3
20301,4
20300,4
20381,3
20380,3
20351,3
20350,3
20371,4
20370,4
20311,4
20310,4
20401,3
20400,3
20411,3
20410,3
20320,3
20331,4
20330,4
20361,3
20360,3
20701,4
20700,4
20730,4
20720,4
20711,4
20710,4
20781,4
20780,4
20750,4
20741,4
20740,4
20101,4
20102,4
20103,4
20100,4
20761,4
20760,4
20151,4
20150,4
20121,4
20120,4
20771,4
20770,4
20141,4
20140,4
20131,4
20130,4
20811,4
20810,4
20831,4
20830,4
20801,4
20800,4
20820,4
20841,4
20840,4
20851,4
20850,4
20691,4
20690,4
20650,4
20671,4
20670,4
20680,4
20641,4
20640,4
20660,4
21001,3
21002,3
21000,3
21511,3
21510,3
21127,2
21113,3
21115,3
21123,2
21125,2
21521,3
21520,3
21119,2
21120,2
21117,3
21116,3
21731,3
21730,3
21110,3
21576,3
21575,3
21516,3
21515,3
21760,3
21750,3
21740,3
21157,2
21160,2
21180,2
21169,2
21170,2
21149,2
21150,2
21175,2
21321,2
21320,2
21139,2
21140,2
21346,2
21345,2
21211,2
21210,2
21301,2
21300,2
21201,2
21200,2
21162,2
21165,2
21166,2
21143,2
21145,2
21146,2
21251,2
21250,2
21240,2
21261,2
21260,2
21246,2
21245,2
21265,2
21216,2
21215,2
21256,2
21255,2
21270,2
21275,2
21236,2
21235,2
21531,3
21530,3
21611,3
21610,3
21621,3
21620,3
21631,3
21630,3
21641,3
21640,3
21536,3
21535,3
21601,3
21600,3
21501,3
21500,3
21650,3
21526,3
21525,3
21661,3
21660,3
21670,3
21316,2
21315,2
21410,2
21325,2
21330,2
21311,2
21310,2
21421,2
21420,2
21306,2
21305,2
21401,2
21400,2
21801,3
21800,3
21711,3
21710,3
21130,2
21135,2
21825,3
21805,3
21781,3
21780,3
21137,2
21136,2
21771,3
21770,3
21815,3
21866,2
21865,2
21205,2
21845,2
21835,2
21876,2
21875,2
21896,2
21895,2
21153,2
21155,2
21886,2
21885,2
21855,2
21431,2
21430,2
21450,2
21440,2
21460,2
21341,2
21340,2
21356,2
21355,2
21335,2
21351,2
21350,2
21395,2
21101,3
21102,3
21103,3
21104,3
21100,3
21700,3
21721,3
21720,3
21108,3
21107,3
21366,2
21365,2
21361,2
21360,2
21225,2
21220,2
21230,2
21390,2
21376,1
21375,1
21385,1
21371,1
21370,1
21381,2
21380,2
21546,3
21545,3
21565,3
21571,3
21570,3
21540,3
21550,3
21560,3
21555,3
22001,3
22000,3
22800,3
22805,3
22101,3
22100,3
22811,3
22810,3
22051,3
22741,2
22740,2
22491,2
22490,2
22481,2
22480,2
22510,2
22731,2
22730,2
22471,2
22470,2
22701,3
22700,3
22710,3
22771,3
22770,3
22721,3
22720,3
22760,3
22661,2
22660,2
22670,2
22640,2
22650,2
22630,2
22750,2
22151,3
22150,3
22111,3
22110,3
22241,3
22240,3
22236,3
22235,3
22180,3
22141,3
22140,3
22170,3
22220,3
22130,3
22121,3
22120,3
22190,3
22601,2
22600,2
22521,2
22520,2
22621,2
22620,2
22610,2
22501,2
22500,2
22431,2
22430,2
22410,2
22440,2
22350,2
22420,2
22450,2
22460,2
22371,2
22370,2
22360,2
22340,2
22826,3
22825,3
22861,3
22860,3
22841,3
22840,3
22846,3
22845,3
22866,3
22865,3
22835,3
22855,3
22820,3
22850,3
22201,3
22202,3
22200,3
22320,3
22160,3
22311,3
22310,3
22255,2
22245,2
22260,2
22400,3
22250,2
22215,3
22331,3
22330,3
22300,3
22541,2
22540,2
22551,2
22550,2
22531,2
22530,2
22570,2
22561,2
22560,2
23001,4
23003,4
23004,4
23006,4
23000,4
23002,4
23041,4
23600,4
23500,4
23550,3
23650,4
23420,3
23440,3
23850,3
23480,3
23460,3
23400,3
23750,4
23800,4
23700,4
23200,3
23240,3
23120,3
23100,3
23300,3
23350,3
23140,3
23220,3
24001,4
24002,4
24000,4
24501,4
24500,4
24521,4
24520,4
24351,4
24350,4
24401,4
24400,4
24300,4
24541,4
24540,4
24450,4
24560,4
24151,4
24150,4
24101,4
24100,4
24250,4
24200,4
25001,2
25002,2
25003,2
25004,2
25006,2
25000,2
25501,2
25500,2
25231,2
25230,2
25101,2
25100,2
25701,2
25700,2
25201,2
25200,2
25211,2
25210,2
25221,2
25220,2
25300,2
25551,2
25550,2
25531,2
25530,2
25601,2
25600,2
25400,1
